response_id,source,object,original_translated,text,utility_rater02,cluster,center_dist,number_words,cluster_response
24402,human,brick,make a statue,make statue,3,645,0.3233139812946319,2,statue base
24068,LLM,brick,statue holder,statue holder,4,645,0.3449963927268982,2,statue base
18642,LLM,brick,foundation for sculptures,foundation sculptures,4,645,0.3509440124034881,2,statue base
30097,human,brick,a statue as a chiseled out,statue chipped,5,645,0.4157479107379913,2,statue base
20498,LLM,brick,sculptural element,sculptural element,3,646,0.2536182701587677,2,sculptural element
16559,LLM,brick,decorative element,decorative element,5,646,0.2553131282329559,2,sculptural element
24039,LLM,brick,sculpture element,sculpture element,3,646,0.2659671008586883,2,sculptural element
17120,LLM,brick,decorative elements,decorative elements,4,646,0.2715718746185303,2,sculptural element
18598,LLM,brick,structural element for sculptures,structural element sculptures,3,646,0.2994654476642608,3,sculptural element
17271,LLM,brick,architectural element,architectural element,4,646,0.310822457,2,sculptural element
1154,human,brick,you can use it to sculpt,sculpting,3,647,0.1835011392831802,1,sculpting
4561,human,brick,sculpt,sculpt,3,647,0.2340364903211593,1,sculpting
4938,additional,brick,sculptural work,sculptural work,2,647,0.2418659478425979,2,sculpting
4942,additional,brick,sculptural art,sculptural art,2,647,0.2451396286487579,2,sculpting
11603,human,brick,sculpt and make art with it,sculpting making art,3,647,0.2522907257080078,3,sculpting
19999,LLM,brick,sculpting material,sculpting material,3,647,0.2647126019001007,2,sculpting
20482,LLM,brick,sculpting medium,sculpting medium,3,647,0.2777150273323059,2,sculpting
760,human,brick,stone to sculpt,stone sculpting,3,647,0.2886812686920166,2,sculpting
14301,LLM,brick,sculpture,sculpture,3,648,0.2167864441871643,1,sculpture
19116,LLM,brick,art sculpture,art sculpture,3,648,0.221120998,2,sculpture
1359,human,brick,file into a work of art/sculpture,art sculpture,3,648,0.221120998,2,sculpture
17119,LLM,brick,sculptures,sculptures,3,648,0.2379286289215088,1,sculpture
19500,LLM,brick,sculpture medium,sculpture medium,3,648,0.2420978099107742,2,sculpture
19196,LLM,brick,art sculpture material,art sculpture material,3,648,0.2535185217857361,3,sculpture
16499,LLM,brick,sculpture material,sculpture material,3,648,0.2535732686519623,2,sculpture
22946,LLM,brick,creating sculptures,creating sculptures,3,648,0.2882628440856933,2,sculpture
30263,human,brick,sculpture means,sculpture means,2,648,0.2918373942375183,2,sculpture
20732,LLM,brick,outdoor sculpture,outdoor sculpture,3,648,0.3196325302124023,2,sculpture
4941,additional,brick,free-standing sculpture,free standing sculpture,2,648,0.3435994684696197,3,sculpture
20440,LLM,brick,quirky sculpture material,quirky sculpture material,3,648,0.3638216257095337,3,sculpture
1256,human,brick,cement,cement,1,649,0.2114634811878204,1,cement
9453,human,brick,Cement,cements,1,649,0.2409432679414749,1,cement
8610,human,brick,smear cement on,spread cement,3,649,0.3057439625263214,2,cement
10721,human,brick,cement in place,solid cementing,3,649,0.3075492978096008,2,cement
3374,human,brick,cement holder,cement holder,4,649,0.3341960608959198,2,cement
15741,human,brick,smearing with cement,smear cement,5,649,0.3394952118396759,2,cement
17065,human,brick,stick on a wall with cement,wall paste cement,5,649,0.3398942351341247,3,cement
4958,additional,brick,cementitious material,cementitious material,2,649,0.3747337460517883,2,cement
11652,human,brick,concrete,concrete,1,650,0.2609362602233886,1,concrete
4954,additional,brick,poured concrete,poured concrete,2,650,0.2795691192150116,2,concrete
4953,additional,brick,concrete mix,concrete mix,2,650,0.3003795742988586,2,concrete
4955,additional,brick,ready-mix concrete,ready mix concrete,2,650,0.3119497895240783,3,concrete
4957,additional,brick,lightweight concrete,lightweight concrete,2,650,0.3429269194602966,2,concrete
1304,human,brick,pour concrete into a mold,concrete pouring mold,3,650,0.34822917,3,concrete
4956,additional,brick,high-strength concrete,high strength concrete,2,650,0.357472688,3,concrete
15478,human,brick,pottery,pottery,1,651,0.1726080775260925,1,pottery
12937,human,brick,pottery,pottery making,1,651,0.1835876703262329,2,pottery
6282,additional,brick,make pottery,make pottery,2,651,0.1952690631151199,2,pottery
14967,LLM,brick,material in pottery,material pottery,1,651,0.2176230549812317,2,pottery
4816,additional,brick,pottery clay,pottery clay,2,652,0.241362914,2,pottery clay
392,human,brick,clay,clay,2,652,0.2594947814941406,1,pottery clay
10796,human,brick,make clay from it,make clay,2,652,0.2646584212779999,2,pottery clay
4817,additional,brick,ceramic clay,ceramic clay,2,652,0.2776374220848083,2,pottery clay
4815,additional,brick,modeling clay,modeling clay,2,652,0.2828721702098846,2,pottery clay
19662,LLM,brick,mold for clay,mold clay,1,652,0.3010983467102051,2,pottery clay
6913,human,brick,clay composition,clay composition,2,652,0.3096332848072052,2,pottery clay
13608,human,brick,reclaim and shape clay,clay reclaim shapes,2,652,0.3454862833023071,3,pottery clay
11113,human,brick,flatten clay,flatten clay,4,652,0.3455376625061035,2,pottery clay
5086,additional,brick,clay marbles,clay marbles,2,653,0.2098200917243957,2,clay marbles
2415,human,brick,play marbles with it,marbles,2,653,0.2599671185016632,1,clay marbles
5085,additional,brick,clay marble,clay marble,2,653,0.2670524418354034,2,clay marbles
11697,human,brick,marble pot,marble jar,3,653,0.3215973675251007,2,clay marbles
4345,human,brick,marble track,marble track,3,653,0.331138402,2,clay marbles
3852,human,brick,stick on,plaster,2,654,0.2122829258441925,1,plaster
4948,additional,brick,clay plaster,clay plaster,2,654,0.2574287056922912,2,plaster
4949,additional,brick,chalk plaster,chalk plaster,2,654,0.2685333788394928,2,plaster
4946,additional,brick,gypsum,gypsum,2,654,0.3698019981384277,1,plaster
4814,additional,brick,terracotta,terracotta,2,655,0.4049802422523498,1,terracotta
1303,human,brick,clay lump,claybonk,1,655,0.4253443479537964,1,terracotta
693,human,brick,to walk on mud,walking mud,4,655,0.4269812405109405,2,terracotta
2536,additional,brick,rubber duck,rubber duck,1,655,0.4297239780426025,2,terracotta
11192,human,brick,as a placemat,placemat,3,655,0.4444772005081177,1,terracotta
18578,LLM,brick,ocarina,ocarina,2,655,0.4474782347679138,1,terracotta
14934,LLM,brick,hourglass,hourglass,1,655,0.4500495791435241,1,terracotta
6214,additional,brick,gua sha,gua sha,1,655,0.4528062343597412,2,terracotta
978,human,brick,make a pyramid,make pyramid,4,656,0.1733012944459915,2,make pyramid
4112,human,brick,pyramid,pyramid,4,656,0.1733012944459915,1,make pyramid
577,human,brick,as a mortar,mortar,1,657,0.3291712403297424,1,mortar
14574,LLM,brick,masonry,masonry,5,657,0.3323685228824615,1,mortar
2378,human,brick,masonry tools,masonry tools,4,657,0.3363456130027771,2,mortar
13054,human,brick,clinker,clinker,5,657,0.3462484180927276,1,mortar
14670,LLM,brick,brick kiln,kiln,4,657,0.3924129903316498,1,mortar
8230,human,brick,you can break tiles with it to make a mosaic,break tiles make mosaic,5,658,0.1706053465604782,4,break make mosaic
10494,human,brick,if you break it into pieces you can make a mosaic with it,break make mosaic,3,658,0.2286265194416046,3,break make mosaic
31286,human,brick,breaking and making mosaics,break mosaic,4,658,0.2400723695755005,2,break make mosaic
19133,LLM,brick,smashed for mosaic tiles,smashed mosaic tiles,3,658,0.3107089698314667,3,break make mosaic
2497,human,brick,breaking and making a mosaic,smash make mosaic,3,658,0.3290506899356842,3,break make mosaic
1564,human,brick,dropping and breaking a tile,break tile,5,658,0.32924208,2,break make mosaic
17118,LLM,brick,mosaics,mosaics,3,659,0.2008206248283386,1,mosaics
24013,LLM,brick,tiles and mosaics,tiles mosaics,3,659,0.2361270934343338,2,mosaics
16865,LLM,brick,mosaic tile,mosaic tile,3,659,0.2414709627628326,2,mosaics
16950,LLM,brick,decorative mosaic,decorative mosaic,3,659,0.2430709451436996,2,mosaics
14947,LLM,brick,mosaic,mosaic,3,659,0.2523020207881927,1,mosaics
16506,LLM,brick,mosaic art,mosaic art,3,659,0.2584692239761352,2,mosaics
2551,human,brick,smash into pieces and make a 'mosaic',pieces form mosaic,3,659,0.2846828401088714,3,mosaics
20681,LLM,brick,colorful mosaic tile,colorful mosaic tile,3,659,0.297313392,3,mosaics
964,human,brick,cut into small pieces and create a different pattern,mosaic pattern,3,659,0.3083624839782715,2,mosaics
17363,LLM,brick,wall mosaic,wall mosaic,3,659,0.3175314664840698,2,mosaics
29691,human,brick,shelf,plank,2,660,0.1751444041728973,1,plank
697,human,brick,to place a plank on,lay plank,5,660,0.2442594766616821,2,plank
5060,human,brick,to pile several bricks in a row against a wall and use them as a 'plank',wall plank,4,660,0.2560853362083435,2,plank
24502,human,brick,board on wall,plank wall,2,660,0.2727285623550415,2,plank
3914,human,brick,as a small plank,small plank,5,660,0.2811590731143951,2,plank
10352,human,brick,you can with a plank on balance,balance plank,5,660,0.3202630281448364,2,plank
7660,additional,brick,slab,slab,2,660,0.3614795506000519,1,plank
393,human,brick,floor,floor,4,661,0.2367200702428817,1,floor
28502,human,brick,lay a floor,laying floor,5,661,0.2417557686567306,2,floor
7561,human,brick,making a floor,make floor,4,661,0.2721511125564575,2,floor
15196,LLM,brick,flooring,flooring,4,661,0.2917158305644989,1,floor
13976,human,brick,build a floor,building floor,5,661,0.2979398667812347,2,floor
5146,human,brick,breaking a floor,destroy floor,3,661,0.328032911,2,floor
2701,human,brick,lay a floor in the garden,laying floor garden,4,661,0.3576059937477112,3,floor
14707,LLM,brick,brick tile,tile,4,662,0.2256475687026977,1,tile
30259,human,brick,tiles,floor tiles,5,662,0.2883560061454773,2,tile
23933,LLM,brick,floor tile,floor tile,4,662,0.2990369498729706,2,tile
13494,human,brick,for laying tiles etc.,lay tiles,4,662,0.3067644536495209,2,tile
10123,human,brick,tiling,tiling,4,662,0.3115231990814209,1,tile
23925,LLM,brick,tile backsplash,tile backsplash,4,662,0.3170249760150909,2,tile
31339,human,brick,tiles in the garden,tile garden,5,662,0.3509085178375244,2,tile
2250,human,brick,write on tiles,writing tiles,4,662,0.3552577197551727,2,tile
3429,human,brick,road paving,road tiling,4,662,0.3672344088554382,2,tile
21201,LLM,brick,kitchen backsplash,kitchen backsplash,4,662,0.4225117564201355,2,tile
29341,human,brick,knifing stones,skipping stones,2,663,0.1896395683288574,2,skipping stones
18291,LLM,brick,skipping-stone,skippingstone,2,663,0.2112127244472503,1,skipping stones
7576,additional,brick,throw across water as skipping stone,throw across water skipping stone,2,663,0.269027442,5,skipping stones
1357,human,brick,Break up into small whiskey stones,break stones,3,664,0.2649773061275482,2,break stones
2401,human,brick,to break other stones,break stones,3,664,0.2649773061275482,2,break stones
13130,human,brick,bricks,stones,5,664,0.2791889309883117,1,break stones
12722,human,brick,you can use a thousand make pebbles out of it,break pebbles,3,664,0.2934625446796417,2,break stones
2231,human,brick,smash for small pieces of stone,smash stones,3,664,0.3156136274337768,2,break stones
3888,human,brick,break to make pebbles,smashing pebbles,4,664,0.3262352049350738,2,break stones
6005,human,brick,breaking another piece of stone,break another piece stone,5,664,0.3396307528018951,4,break stones
8816,human,brick,grind fine and use as pebbles,grind pebbles,3,664,0.3493715524673462,2,break stones
18519,LLM,brick,grindstone,grindstone,4,664,0.3576498925685882,1,break stones
1749,human,brick,eating stones (weird OCD),eating stones,1,664,0.3606522679328918,2,break stones
29868,human,brick,pebble,pebble,4,664,0.3999876379966736,1,break stones
4819,additional,brick,claystone,claystone,2,664,0.419825941,1,break stones
14341,human,brick,chimney,barkstone,5,664,0.4229268431663513,1,break stones
31778,human,brick,draw with it on other stones,drawing stones,5,665,0.2677393555641174,2,drawing stones
297,human,brick,write on something made of stone,writing stone,3,665,0.3136228024959564,2,drawing stones
7495,human,brick,chisel with a stone and make it into an art object,chiseling stone art object,3,665,0.3183565735816955,4,drawing stones
7172,human,brick,Etching art into other stones,art etching stones,3,665,0.3212579190731048,3,drawing stones
4390,human,brick,to write with on other stone,write stone,4,665,0.3226126730442047,2,drawing stones
31823,human,brick,paint on the stone,painting stone,3,665,0.3260779976844787,2,drawing stones
31813,human,brick,make a work of art from stone,work art stone,3,665,0.3288680613040924,3,drawing stones
28378,human,brick,you can draw with it on other stone,draw another stone,5,665,0.3290948271751404,3,drawing stones
808,human,brick,use as a writing stone on other stone-like material,writing stone stone like material,3,665,0.3512758910655975,5,drawing stones
963,human,brick,"chop it into small pieces and do things with the small stones, like making artwork",chop stones art,3,665,0.3637196123600006,3,drawing stones
3665,human,brick,artificial stone,artificial stone,3,665,0.3847135603427887,2,drawing stones
2249,human,brick,draw on a rock,drawing rock,4,665,0.3932116031646728,2,drawing stones
4936,additional,brick,chisel,chisel,2,665,0.4588811993598938,1,drawing stones
14360,human,brick,brick building,stone building,5,666,0.3008965849876404,2,stone building
23920,LLM,brick,stone wall,stone wall,2,666,0.3240738213062286,2,stone building
17571,human,brick,stack bricks,stacking stones,5,666,0.3298931121826172,2,stone building
14367,human,brick,brick box,stone container,5,666,0.3316260278224945,2,stone building
23640,human,brick,stone baking,stone box,4,666,0.3326263725757599,2,stone building
3374,human,brick,stack stone,stacking stone,5,666,0.341729075,2,stone building
5798,human,brick,laying stones on top of each other,laying stones together,5,666,0.3536835014820099,3,stone building
3375,human,brick,house brick,house stone,3,666,0.3581190109252929,2,stone building
10439,human,brick,build a brick path,build stone path,4,666,0.3637319207191467,3,stone building
15920,human,brick,Large wall stones,big wall stones,5,666,0.3640668094158172,3,stone building
13348,human,brick,bricks on the street,stone street,5,666,0.3783603012561798,2,stone building
14438,human,brick,a stone of aken,stone barges,5,666,0.3865077793598175,2,stone building
1352,human,brick,gravel,gravel,3,667,0.2154991030693054,1,gravel
1562,human,brick,grind into gravel,grind gravel,3,667,0.2592119574546814,2,gravel
7331,human,brick,Grind and use as gravel,grind gravel,3,667,0.2592119574546814,2,gravel
10361,human,brick,you can grind it up and make gravel,crush gravel,3,667,0.2684323787689209,2,gravel
17181,human,brick,crush for gravel,crush gravel,3,667,0.2684323787689209,2,gravel
29972,human,brick,pulverize into gravel,pulverize gravel,4,667,0.2963770031929016,2,gravel
1823,human,brick,raw material for grafel,raw material gravel,3,667,0.2980184853076935,3,gravel
4182,human,brick,hammer it apart and use the grit to to lay a gravel path,hammer gravel,3,667,0.3033541738986969,2,gravel
27833,human,brick,pressed gravel,pressed gravel,3,667,0.3162946105003357,2,gravel
11722,human,brick,make sand/gravel out of it,sand gravel,3,667,0.3206998705863952,2,gravel
182,human,brick,broken brick = gravel for the garden,gravel garden,3,667,0.3524597585201263,2,gravel
15422,human,brick,edge for gravel path,edge gravel path,4,667,0.4113220870494842,3,gravel
22108,LLM,brick,a brick in the sand,sand,3,668,0.2494815587997436,1,sand
10445,human,brick,crush it and make sand,crush sand,3,668,0.261866808,2,sand
28070,human,brick,crush into sand,crush sand,4,668,0.261866808,2,sand
3891,human,brick,ground into sand,crushed sand,3,668,0.2803699374198913,2,sand
7695,additional,brick,beach sand,beach sand,2,668,0.3057689666748047,2,sand
977,human,brick,"make to very small, almost sand",make sand,3,668,0.3148251175880432,2,sand
7694,additional,brick,desert sand,desert sand,2,668,0.3442577719688415,2,sand
17388,human,brick,sand and make sand,sanding sand,3,669,0.220275342,2,sanding sand
30740,human,brick,sanding surface,sanding surface,4,669,0.2295026630163192,2,sanding sand
24008,human,brick,sandstone,sanding stone,4,669,0.23520267,2,sanding sand
3830,human,brick,scratch against the wall,sanding wall,4,669,0.2450065165758133,2,sanding sand
1971,human,brick,sandpaper,sandpaper,3,670,0.2533286511898041,1,sandpaper
16901,human,brick,sandpaper thing,sandpaper thing,3,670,0.2687180340290069,2,sandpaper
761,human,brick,To sand something against (for relief or to make things smooth),sand paper,3,670,0.2929781079292297,2,sandpaper
27834,human,brick,to use very thick sandpaper,thick sandpaper,4,670,0.3182711601257324,2,sandpaper
24661,human,brick,sandpaper support,sandpaper backer,5,670,0.3199359774589538,2,sandpaper
5381,human,brick,writing things in the sand,writing things sand,5,670,0.3527356088161468,3,sandpaper
29403,human,brick,sandbox,sandbox,4,670,0.398189902,1,sandpaper
14805,LLM,brick,sandcastle,sandcastle,1,670,0.3994474709033966,1,sandpaper
4979,additional,brick,beam bridge,beam bridge,2,671,0.1369490325450897,2,beam bridge
4984,additional,brick,building beam bridge,building beam bridge,2,671,0.1743306666612625,3,beam bridge
4989,additional,brick,build beam bridge,build beam bridge,2,671,0.1761032193899154,3,beam bridge
7662,additional,brick,beam,beam,2,671,0.2873481810092926,1,beam bridge
242,human,brick,build a bridge,build bridge,3,672,0.2266265600919723,2,build bridge
14671,LLM,brick,brick bridge,bridge,3,672,0.2419867217540741,1,build bridge
14737,human,brick,making a bridge,making bridge,3,672,0.2472323179244995,2,build bridge
24006,LLM,brick,bridge construction,bridge construction,3,672,0.2708004117012024,2,build bridge
969,human,brick,build bridges and other things,building bridges,3,672,0.2858016192913055,2,build bridge
28153,human,brick,trying to make a bridge with it,try bridge,4,672,0.3323609232902527,2,build bridge
4915,additional,brick,water bridge,water bridge,2,672,0.3476413786411285,2,build bridge
4983,additional,brick,building suspension bridge,building suspension bridge,2,673,0.2406789511442184,3,building suspension bridge
4985,additional,brick,building pontoon bridge,building pontoon bridge,2,673,0.2426862716674804,3,building suspension bridge
4990,additional,brick,build pontoon bridge,build pontoon bridge,2,673,0.2646070122718811,3,building suspension bridge
4988,additional,brick,build suspension bridge,build suspension bridge,2,673,0.2660878002643585,3,building suspension bridge
4980,additional,brick,pontoon bridge,pontoon bridge,2,673,0.2834907174110412,2,building suspension bridge
4978,additional,brick,suspension bridge,suspension bridge,2,673,0.3083533644676208,2,building suspension bridge
4976,additional,brick,overpass,overpass,2,674,0.1652948707342147,1,overpass
4981,additional,brick,building overpass,building overpass,2,674,0.1721410453319549,2,overpass
4986,additional,brick,build overpass,build overpass,2,674,0.1876413226127624,2,overpass
34022,LLM,brick,underpass,underpass,1,674,0.3080317974090576,1,overpass
4982,additional,brick,building arch,building arch,2,675,0.2244157791137695,2,building arch
5361,human,brick,build arches,building arches,5,675,0.2277098149061203,2,building arch
4987,additional,brick,build arch,build arch,2,675,0.236414149,2,building arch
15040,LLM,brick,arch,arch,3,675,0.2368707060813903,1,building arch
17215,LLM,brick,arched bridge,arched bridge,3,675,0.2947621941566467,2,building arch
24007,LLM,brick,supporting arches,supporting arches,3,675,0.3522321879863739,2,building arch
21990,LLM,brick,brick archway,archway,4,675,0.3677988648414612,1,building arch
6198,human,brick,school building,school buildings,5,676,0.2675581276416778,2,school buildings
2320,human,brick,school building,school building,3,676,0.2761954367160797,2,school buildings
12622,human,brick,build a school,building school,5,676,0.3245737254619598,2,school buildings
22470,LLM,brick,a brick in the school,school,2,676,0.3278127312660217,1,school buildings
19562,LLM,brick,building ruins for school projects,building ruins school projects,3,676,0.3657785058021545,4,school buildings
28515,human,brick,practice material for schools for building,building training materials schools,5,676,0.369509757,4,school buildings
28,human,brick,high school,secondary school,2,676,0.380783737,2,school buildings
26,human,brick,primary school,primary school,2,676,0.4004355370998382,2,school buildings
3433,human,brick,construction,construction,5,677,0.2766141295433044,1,construction
6885,human,brick,construction workers,construction work,5,677,0.2769064903259277,2,construction
5671,human,brick,to build a construction at all,build construction general,3,677,0.2865091860294342,3,construction
3923,human,brick,making constructions,constructions,5,677,0.2868242263793945,1,construction
5668,human,brick,to build a construction at all,construction general,4,677,0.2912057340145111,2,construction
2373,human,brick,construction project,construction project,3,677,0.312398612,2,construction
32376,human,brick,construction part,construction part,5,677,0.3563242256641388,2,construction
9514,human,brick,Construction worker,construction worker,5,677,0.3689571321010589,2,construction
29862,human,brick,construction site,construction trades,5,677,0.3758598864078522,2,construction
31825,human,brick,building in general,building general,5,677,0.3968872427940368,2,construction
24821,human,brick,constructing,construct,4,677,0.3985172212123871,1,construction
9515,human,brick,hardware store,construction market,5,677,0.4015933275222778,2,construction
9611,human,brick,carpentry,carpentry,1,678,0,1,carpentry
6328,additional,brick,do carpentry,carpentry,1,678,0,1,carpentry
17272,LLM,brick,building material,building material,5,679,0.1433595865964889,2,building material
22924,LLM,brick,building construction material,building construction material,5,679,0.1567024290561676,3,building material
18444,LLM,brick,construction material,construction material,5,679,0.1613197028636932,2,building material
15149,human,brick,Building houses,build houses,5,680,0.1342353373765945,2,build houses
10169,human,brick,l\Build houses with it,build houses,3,680,0.1342353373765945,2,build houses
12619,human,brick,build houses,building houses,5,680,0.179050326,2,build houses
463,human,brick,build a house,build house,5,680,0.1808508485555648,2,build houses
23802,LLM,brick,house building,house building,5,680,0.1878241747617721,2,build houses
31720,human,brick,build a house or something,build house something,5,680,0.2718422412872314,3,build houses
5013,additional,brick,building town,building town,2,681,0.2263679653406143,2,building town
5010,additional,brick,build town,build town,2,681,0.237312451,2,building town
3930,human,brick,build a city,building city,2,681,0.2592968642711639,2,building town
6505,additional,brick,power city,power city,1,681,0.4264990985393524,2,building town
18324,LLM,brick,building,building,5,682,0.2143560796976089,1,building
29688,human,brick,build a building,building building,5,682,0.218596727,2,building
30734,human,brick,building construction,building construction,5,682,0.2493591904640197,2,building
2989,human,brick,to build buildings in general,building buildings general,3,682,0.2568323314189911,3,building
16907,human,brick,build other buildings,build buildings,5,682,0.2621293067932129,2,building
13198,human,brick,buildings,buildings,5,682,0.2845321297645569,1,building
26837,human,brick,building all kinds of buildings,build kinds buildings,5,682,0.3153339028358459,3,building
1893,human,brick,build a desk with it,build office,3,682,0.3626004755496979,2,building
22476,LLM,brick,a brick in the office,office,2,682,0.4479893147945404,1,building
6357,additional,brick,build spaceship,build spaceship,2,683,0.3132854998111725,2,build spaceship
8004,human,brick,build airplanes,building airplanes,1,683,0.3386846780776977,2,build spaceship
6258,additional,brick,build rocket,build rocket,1,683,0.3411722481250763,2,build spaceship
4054,human,brick,send it into space to show aliens with which humans make most buildings,send space show aliens humans make buildings,3,683,0.3600628674030304,7,build spaceship
2613,human,brick,building things,building things,5,683,0.3689420819282532,2,build spaceship
6329,additional,brick,fly to space,fly space,1,683,0.4274559617042541,2,build spaceship
9858,human,brick,Build something else,build,5,684,0.2362116873264312,1,build
15645,human,brick,build,build,5,684,0.2362116873264312,1,build
6504,human,brick,build a water well,build well,3,684,0.3458296954631805,2,build
9662,human,brick,can build something big with it,build big,5,684,0.3552522659301758,2,build
28406,human,brick,build something else,build different,5,684,0.3553967177867889,2,build
5150,human,brick,build a restaurant,build restaurant,5,684,0.3567335903644562,2,build
4395,human,brick,build a kitchen,build kitchen,4,684,0.3714056611061096,2,build
5471,human,brick,build a cinema,build cinema,5,684,0.3741498291492462,2,build
5151,human,brick,build a theater,build theater,5,684,0.3822734355926513,2,build
40,human,brick,build shops with bricks,building shops,4,684,0.3912070691585541,2,build
6317,additional,brick,build computer,build computer,1,684,0.4298070669174194,2,build
5398,human,brick,build a quay,build quay,3,684,0.4338031709194183,2,build
5152,human,brick,build a skyscraper,build skyscraper,3,685,0.176263079,2,build skyscraper
6351,additional,brick,design skyscraper,design skyscraper,2,685,0.1899478584527969,2,build skyscraper
1971,human,brick,skyscraper,skyscraper,5,685,0.2105113118886947,1,build skyscraper
1067,human,brick,build a tower,build tower,4,686,0.217069611,2,build tower
5900,human,brick,build towers,build towers,4,686,0.2457736581563949,2,build tower
4797,human,brick,make a tower,make tower,4,686,0.2637601494789123,2,build tower
26847,human,brick,towers,towers,4,686,0.2644926309585571,1,build tower
14668,LLM,brick,brick tower,tower,4,686,0.2698412537574768,1,build tower
2563,human,brick,build as high a tower as possible,build highest possible tower,3,686,0.2704563438892364,4,build tower
10345,human,brick,build a high tower,build high tower,4,686,0.2802161276340484,3,build tower
4607,human,brick,build as high a tower as possible,highest possible tower,3,686,0.3189181089401245,3,build tower
30398,human,brick,play tower for children,play tower children,5,686,0.4047515392303467,3,build tower
10966,human,brick,build a castle,build castle,4,687,0.2130731791257858,2,build castle
6416,human,brick,build a castle,building castle,4,687,0.2168522477149963,2,build castle
12623,human,brick,making castles,making castles,4,687,0.2514841556549072,2,build castle
18501,LLM,brick,castle,castle,4,687,0.2568373382091522,1,build castle
2348,human,brick,make castles,castles,3,687,0.2663832902908325,1,build castle
30398,human,brick,mini castle,mini castle,3,687,0.3474731743335724,2,build castle
14306,LLM,brick,fort,fort,3,688,0.2302248030900955,1,fort
17105,LLM,brick,build a fort,build fort,3,688,0.2376439571380615,2,fort
278,human,brick,make a fort,make fort,3,688,0.2657127380371094,2,fort
17310,LLM,brick,fortress,fortress,3,688,0.3039102852344513,1,fort
14827,LLM,brick,fortification,fortification,4,688,0.3320589959621429,1,fort
18841,LLM,brick,building ruins for models,building ruins models,3,689,0.2702398300170898,3,building ruins models
18600,LLM,brick,foundation for model buildings,foundation model buildings,4,689,0.307742029,3,building ruins models
18720,LLM,brick,structural model building,structural model building,1,689,0.3303518891334533,3,building ruins models
16671,LLM,brick,architectural model,architectural model,2,689,0.3341424167156219,2,building ruins models
18962,LLM,brick,building ruins for model landscapes,building ruins model landscapes,2,689,0.346634954,4,building ruins models
19576,LLM,brick,building ruin props,building ruin props,3,689,0.3513442873954773,3,building ruins models
15341,LLM,brick,model,model,2,689,0.3778350055217743,1,building ruins models
5017,additional,brick,build enclave,build enclave,2,690,0.1148478835821151,2,build enclave
5019,additional,brick,building enclave,building enclave,2,690,0.1453009992837906,2,build enclave
5015,additional,brick,enclave,enclave,2,690,0.1897861808538437,1,build enclave
3514,human,brick,build a bunker,build bunker,3,691,0.2023857235908508,2,build bunker
15207,LLM,brick,bunker,bunker,3,691,0.2473784238100052,1,build bunker
13083,human,brick,build a vault,build vault,2,691,0.3243279755115509,2,build bunker
5008,additional,brick,settlement,settlement,2,692,0.1909412592649459,1,settlement
5014,additional,brick,building settlement,building settlement,2,692,0.2011349350214004,2,settlement
5011,additional,brick,build settlement,build settlement,2,692,0.2362571954727172,2,settlement
28416,human,brick,level something,settle,4,692,0.299157053,1,settlement
19532,LLM,brick,foundation for structures,foundation structures,4,693,0.2779568433761596,2,foundation structures
18816,LLM,brick,foundation for outdoor structures,foundation outdoor structures,4,693,0.297929436,3,foundation structures
14828,LLM,brick,foundation,foundation,4,693,0.313361257,1,foundation structures
17485,LLM,brick,house foundation,house foundation,4,693,0.3550539910793304,2,foundation structures
3512,human,brick,to build a villa,build villa,5,694,0.3086623549461365,2,build villa
395,human,brick,villa,villa,5,694,0.3357935845851898,1,build villa
5470,human,brick,build a nursing home,build nursing home,5,694,0.3515314757823944,3,build villa
5196,additional,brick,long-term care facility,long term care facility,2,694,0.3793038725852966,4,build villa
21942,LLM,brick,a brick wall hanging,wall hanging,4,695,0.2149505615234375,2,wall hanging
11861,human,brick,hang on the wall with text,wall hanger,3,695,0.215178907,2,wall hanging
1431,human,brick,hanging on the wall,hanging wall,3,695,0.2349803298711776,2,wall hanging
23375,LLM,brick,wall hook,wall hook,1,695,0.2689297199249267,2,wall hanging
2315,human,brick,hanging on the wall as a shelf,hang wall shelf,4,695,0.2747100293636322,3,wall hanging
14722,LLM,brick,wall decoration,wall decoration,5,696,0.194247231,2,wall decoration
17027,LLM,brick,wall decor,wall decor,4,696,0.2144390493631363,2,wall decoration
16401,LLM,brick,decorative wall,decorative wall,4,696,0.2174227088689804,2,wall decoration
17299,LLM,brick,decorative wall art,decorative wall art,3,696,0.2244921773672104,3,wall decoration
16846,LLM,brick,decorative wall panels,decorative wall panels,4,696,0.2557826042175293,3,wall decoration
16961,LLM,brick,decorative wall panel,decorative wall panel,4,696,0.261676162,3,wall decoration
15992,human,brick,decorate walls,decorate walls,5,696,0.2827626168727875,2,wall decoration
20142,LLM,brick,decorative wall hanging,decorative wall hanging,4,696,0.2829244136810303,3,wall decoration
14302,LLM,brick,wall art,wall art,3,696,0.3011131584644317,2,wall decoration
23675,LLM,brick,wall mural,wall mural,2,697,0.2348057031631469,2,wall mural
14748,LLM,brick,brick wallpaper,wallpaper,2,697,0.2839803397655487,1,wall mural
29746,human,brick,wallpaper print,wallpaper print,5,697,0.3076775968074798,2,wall mural
14801,LLM,brick,mural,mural,2,697,0.3130735456943512,1,wall mural
