target object,alternate use,utility_r1,utility_r2,mean_utility
brick,duplicate,2,3.0,2.5
brick,remove calluses,5,3.0,4.0
brick,chopsticks support,5,5.0,5.0
brick,photographing,4,4.0,4.0
brick,give concussion,5,3.0,4.0
brick,foundation,3,5.0,4.0
brick,sit down,4,4.0,4.0
brick,grinding grain,4,4.0,4.0
brick,fill in canal,4,4.0,4.0
brick,graffiti wall,4,5.0,4.5
brick,engraving wood,2,3.0,2.5
brick,indicate boundary,5,4.0,4.5
brick,building boundaries,5,4.0,4.5
brick,push ground,3,4.0,3.5
brick,draw ground,4,4.0,4.0
brick,ditch,3,4.0,3.5
brick,large container,4,4.0,4.0
brick,pulverizes pieces art,4,3.0,3.5
brick,heels,2,3.0,2.5
brick,break hand,5,3.0,4.0
brick,hit hard,4,3.0,3.5
brick,lever,3,4.0,3.5
brick,strengthen fence,5,4.0,4.5
brick,very boring stamp,4,3.0,3.5
brick,smash brains,5,3.0,4.0
brick,large lego brick,2,3.0,2.5
brick,throw therapy anger,5,4.0,4.5
brick,throw against object break object,5,4.0,4.5
brick,throwing building,5,4.0,4.5
brick,plug hole,3,4.0,3.5
brick,drill hole in original candle holder,3,4.0,3.5
brick,close hole in ground,4,4.0,4.0
brick,building falling,5,5.0,5.0
brick,building buildings in general,3,5.0,4.0
brick,monetary unit,3,3.0,3.0
brick,sound,4,4.0,4.0
brick,sounds,5,4.0,4.5
brick,dangerous kind of jenga playing,4,4.0,4.0
brick,weight deep sea diving,5,4.0,4.5
brick,hang weight somewhere,5,4.0,4.5
brick,place weight somewhere,5,4.0,4.5
brick,machine,2,1.0,1.5
brick,put weight on,5,4.0,4.5
brick,weightlifting weight,5,4.0,4.5
brick,weight instrument door open,5,4.0,4.5
brick,breaking glass,5,4.0,4.5
brick,waves,3,4.0,3.5
brick,magic,5,3.0,4.0
brick,go stand,4,4.0,4.0
brick,place between window keep window open,5,5.0,5.0
brick,means of defense,3,4.0,3.5
brick,tv station,4,3.0,3.5
brick,play attribute,3,3.0,3.0
brick,play material,3,3.0,3.0
brick,spear more pointed,4,4.0,4.0
brick,blocking mirrors is ugly,3,3.0,3.0
brick,eating stones,1,1.0,1.0
brick,support pillar,4,4.0,4.0
brick,iron,3,3.0,3.0
brick,table brick table legs,4,4.0,4.0
brick,table higher,4,4.0,4.0
brick,keep table straight,3,3.0,3.0
brick,kind of barbecue,3,3.0,3.0
brick,write text,4,4.0,4.0
brick,fighting agent,4,4.0,4.0
brick,increase otherwise,4,4.0,4.0
brick,office chair increase,4,4.0,4.0
brick,increase speaker,4,4.0,4.0
brick,crumbling floor,4,4.0,4.0
brick,decorate eyes antennae father day gift,4,4.0,4.0
brick,throw to injure,5,5.0,5.0
brick,make things worse,4,4.0,4.0
brick,wickerwork old pieces of cloth,1,1.0,1.0
brick,tactile material,3,2.0,2.5
brick,count,2,2.0,2.0
brick,pedestal statue,5,5.0,5.0
brick,sleeping pillow,4,3.0,3.5
brick,percussion stick drum,3,3.0,3.0
brick,mikado,1,1.0,1.0
brick,walking in mud,4,3.0,3.5
brick,nail breaker,3,3.0,3.0
brick,exercises to break mind wall,2,2.0,2.0
brick,martial arts training equipment,3,3.0,3.0
brick,increase amount,4,4.0,4.0
brick,flood,4,4.0,4.0
brick,support otherwise,4,4.0,4.0
brick,example of thin line of bricks on which to walk,4,4.0,4.0
brick,dig up,3,3.0,3.0
brick,ears,5,5.0,5.0
brick,building path in swamp,5,5.0,5.0
brick,paper mache,3,3.0,3.0
brick,styrofoam,1,1.0,1.0
brick,lay plank,5,3.0,4.0
brick,plants presser dry thing,3,4.0,3.5
brick,stage ant theater,4,4.0,4.0
brick,race track,4,3.0,3.5
brick,back support during yoga,4,4.0,4.0
brick,writing stone other stone like material,3,3.0,3.0
brick,writing stone,3,3.0,3.0
brick,sex toy,2,2.0,2.0
brick,napkin holder does not blow away,5,5.0,5.0
brick,object colour,3,3.0,3.0
brick,fire between bricks,5,5.0,5.0
brick,walking path,5,5.0,5.0
brick,hold back water,3,3.0,3.0
brick,baked,5,2.0,3.5
brick,bake,5,2.0,3.5
brick,brick center do,5,4.0,4.5
brick,crush brick,5,5.0,5.0
brick,brick paint,5,4.0,4.5
brick,brick throw workout,5,5.0,5.0
brick,mash things up in bowl,3,3.0,3.0
brick,bath plug,2,4.0,3.0
brick,archaeological object,3,4.0,3.5
brick,anchor small boat,4,2.0,3.0
brick,other build wall,5,5.0,5.0
brick,build different,5,5.0,5.0
brick,alternative key door,1,2.0,1.5
brick,altar,5,5.0,5.0
brick,barrier block,5,4.0,4.5
brick,scare,3,3.0,3.0
brick,hacker,5,4.0,4.5
brick,break down,5,3.0,4.0
brick,action figure,2,3.0,2.5
brick,abortion instrument,2,3.0,2.5
brick,touch,5,5.0,5.0
brick,indicate,5,5.0,5.0
brick,intermediate,5,5.0,5.0
brick,get ball tree,5,4.0,4.5
brick,support furniture,3,4.0,3.5
brick,balancing line,5,4.0,4.5
brick,barbecue place fireproof,5,5.0,5.0
brick,water storage,3,2.0,2.5
brick,scale weight,4,4.0,4.0
brick,skyscraper,5,5.0,5.0
brick,word,3,3.0,3.0
brick,make sure paper doesn blow away,5,5.0,5.0
brick,place book so that book does not blow away,5,5.0,5.0
brick,block robbery,5,4.0,4.5
brick,block where to put art,5,4.0,4.5
brick,place block of flowers,5,4.0,4.5
brick,leave flowers to dry,5,5.0,5.0
brick,flower pressing,5,5.0,5.0
brick,flower drying,5,5.0,5.0
brick,flatten leaves,5,4.0,4.5
brick,bite,5,3.0,4.0
brick,process,5,4.0,4.5
brick,freeze freezer,1,3.0,2.0
brick,throw better,5,3.0,4.0
brick,pave,5,5.0,5.0
brick,basin river,5,4.0,4.5
brick,wallpaper print,5,2.0,3.5
brick,leg,2,2.0,2.0
brick,make statue,3,3.0,3.0
brick,small animal bed,3,4.0,3.5
brick,balancing brick,5,4.0,4.5
brick,silence people,3,3.0,3.0
brick,makeup,2,1.0,1.5
brick,lounge sofa,3,3.0,3.0
brick,viral video,3,3.0,3.0
brick,kill fish,5,4.0,4.5
brick,catch fish,3,3.0,3.0
brick,fly swatter,4,3.0,3.5
brick,laying floor,5,5.0,5.0
brick,feel,5,2.0,3.5
brick,feet support,4,4.0,4.0
brick,bird air inhaler,3,2.0,2.5
brick,example,2,2.0,2.0
brick,object free yourself fire,3,4.0,3.5
brick,fill in pond,5,4.0,4.5
brick,objects lowering water,5,3.0,4.0
brick,boyfriend,1,2.0,1.5
brick,lay fire in stove,4,3.0,3.5
brick,what to sit on,5,4.0,4.5
brick,shaky,5,4.0,4.5
brick,wash,5,4.0,4.5
brick,divert water,4,4.0,4.0
brick,stop water,4,4.0,4.0
brick,water well,5,4.0,4.5
brick,toilet paper,2,1.0,1.5
brick,throwing farthest competition,5,4.0,4.5
brick,hold objects less heavy air ground,5,4.0,4.5
brick,transport,5,3.0,4.0
brick,substitute handball,3,2.0,2.5
brick,pulverize gravel,4,3.0,3.5
brick,pelting people,4,4.0,4.0
brick,portray laying ground in certain way,4,4.0,4.0
brick,hollow out plant,4,3.0,3.5
brick,painting father day gift,5,4.0,4.5
brick,jump from,5,3.0,4.0
brick,fix so that it sinks,5,3.0,4.0
brick,holding means,5,3.0,4.0
brick,secure so that it does not roll away,5,5.0,5.0
brick,burn,2,2.0,2.0
brick,material artwork,3,3.0,3.0
brick,defensive weapon,3,4.0,3.5
brick,settle,4,3.0,3.5
brick,paint block,4,3.0,3.5
brick,crush sand,4,3.0,3.5
brick,heating sauna,5,4.0,4.5
brick,raise computer screen,4,4.0,4.0
brick,raise somewhere not just stretch,4,4.0,4.0
brick,elevation table,4,4.0,4.0
brick,dress up toy,4,2.0,3.0
brick,grind use color paint,4,3.0,3.5
brick,grind differently,4,3.0,3.5
brick,kill wound,5,4.0,4.5
brick,wreck,5,3.0,4.0
brick,delineate road,5,4.0,4.5
brick,create road,5,5.0,5.0
brick,raise somewhere,4,4.0,4.0
brick,throwing sport,4,3.0,3.5
brick,block football game,4,4.0,4.0
brick,plate of food,3,3.0,3.0
brick,door clamp,5,5.0,5.0
brick,drum kit,2,2.0,2.0
brick,sitting on it piles up,3,3.0,3.0
brick,balance exercises,4,4.0,4.0
brick,eye opener,1,1.0,1.0
brick,figures,3,3.0,3.0
brick,close holes,3,3.0,3.0
brick,noise barrier,3,4.0,3.5
brick,pressed cardboard,2,2.0,2.0
brick,weight float,4,4.0,4.0
brick,raw material image,4,4.0,4.0
brick,homeopathic medicine,2,2.0,2.0
brick,wooden block,1,1.0,1.0
brick,play jenga,3,3.0,3.0
brick,bocce ball,4,3.0,3.5
brick,karate,3,4.0,3.5
brick,claybonk,1,1.0,1.0
brick,bobbin,3,3.0,3.0
brick,laying roads,5,5.0,5.0
brick,lie on nice cool surface,3,3.0,3.0
brick,noise,3,4.0,3.5
brick,refine,3,4.0,3.5
brick,open beer bottle,5,5.0,5.0
brick,raw material gravel,3,4.0,3.5
brick,barbecuing,4,4.0,4.0
brick,yoga support,4,3.0,3.5
brick,workout thing,5,4.0,4.5
brick,concrete pouring mold,3,3.0,3.0
brick,workout,5,4.0,4.5
brick,keep his place,5,4.0,4.5
brick,summer igloo,5,5.0,5.0
brick,sun clock,3,5.0,4.0
brick,ensure paper does not blow away,5,5.0,5.0
brick,make sure tent does not blow away,5,5.0,5.0
brick,heavy,5,5.0,5.0
brick,heavier maker so that zinc remains somewhere somewhere,5,5.0,5.0
brick,heavy shoes,5,2.0,3.5
brick,make sure door does not close,5,5.0,5.0
brick,construction part,5,5.0,5.0
brick,strengthen tree,4,4.0,4.0
brick,deliver message,3,3.0,3.0
brick,accountant,5,5.0,5.0
brick,bookshelf support,5,5.0,5.0
brick,book weight,5,5.0,5.0
brick,ball sport substitute,3,3.0,3.0
brick,brick so that leaves do not blow away,5,5.0,5.0
brick,building construction,5,5.0,5.0
brick,book thing remains upright,5,5.0,5.0
brick,indicate distress noise,3,4.0,3.5
can,store drinks,5,5.0,5.0
can,drink holder,5,5.0,5.0
can,beverage storage,5,5.0,5.0
can,drinks holder,5,5.0,5.0
can,drink can,5,5.0,5.0
can,drink himself ult,2,5.0,3.5
can,take drink,4,5.0,4.5
can,drinking glass,3,5.0,4.0
can,drinkware,4,5.0,4.5
can,catch drips,4,4.0,4.0
can,wire communication tool,3,4.0,3.5
can,drum kit,4,4.0,4.0
can,press,3,4.0,3.5
can,drinking cup,4,5.0,4.5
can,collect caps jewelry,4,5.0,4.5
can,target,5,5.0,5.0
can,box,4,5.0,4.5
can,put keep things,4,5.0,4.5
can,plunge pool,5,5.0,5.0
can,put throw things away,4,5.0,4.5
can,transport things,4,5.0,4.5
can,diy phone speaker,3,5.0,4.0
can,float,4,5.0,4.5
can,goal line,5,3.0,4.0
can,goalpost,5,4.0,4.5
can,throw target,5,5.0,5.0
can,aim target,5,5.0,5.0
can,target shooting,5,5.0,5.0
can,dog tag style chain,3,4.0,3.5
can,domina game,3,3.0,3.0
can,dominoes game,3,3.0,3.0
can,look through,3,4.0,3.5
can,box of jewelry,4,5.0,4.5
can,deter pigeons,3,4.0,3.5
can,bicycle key,1,2.0,1.5
can,generating electricity,2,3.0,2.5
can,eat if you have strong stomach,1,1.0,1.0
can,pencil case,2,3.0,2.5
can,fashion statement,3,3.0,3.0
can,bottle opener,2,5.0,3.5
can,stove cooking things,2,5.0,3.5
can,build fort,3,3.0,3.0
can,photo can,3,4.0,3.5
can,frisbee,4,2.0,3.0
can,put in soft drinks,5,5.0,5.0
can,store soft drinks,5,5.0,5.0
can,hole side binoculars,3,3.0,3.0
can,use aluminum statue,3,3.0,3.0
can,use bricks,2,3.0,2.5
can,use pen tub,5,5.0,5.0
can,put things away,4,5.0,4.5
can,store food for long time,4,5.0,4.5
can,hatch eggs,4,3.0,3.5
can,lost food,4,5.0,4.5
can,preserving food,4,5.0,4.5
can,take apart knife,3,4.0,3.5
can,take apart cut,3,4.0,3.5
can,crumple up comic effect,3,3.0,3.0
can,string together,3,4.0,3.5
can,stack together,4,5.0,4.5
can,stacking tower together,4,5.0,4.5
can,bucket,3,5.0,4.0
can,and cutting wifi signal amplification,3,4.0,3.5
can,ankle bracelet one through,2,4.0,3.0
can,insist,3,4.0,3.5
can,draw on it,3,4.0,3.5
can,sit on it,4,3.0,3.5
can,eat out,3,5.0,4.0
can,eat,4,5.0,4.5
can,store food,4,5.0,4.5
can,put food in,4,5.0,4.5
can,put things under,4,5.0,4.5
can,bowling cone,4,3.0,3.5
can,close,5,5.0,5.0
can,building block house,3,5.0,4.0
can,building,3,5.0,4.0
can,remove top of container,4,5.0,4.5
can,cut open top of container,4,5.0,4.5
can,secret hiding place,4,5.0,4.5
can,break,3,3.0,3.0
can,letter holder,5,4.0,4.5
can,glasses,2,3.0,2.5
can,brooch,4,4.0,4.0
can,wedding garland,3,5.0,4.0
can,bow,3,4.0,3.5
can,outdoor playing instrument,4,3.0,3.5
can,gift,3,4.0,3.5
can,give present,3,4.0,3.5
can,set up camera,3,5.0,4.0
can,building block,3,5.0,4.0
can,camera stand,3,5.0,4.0
can,building material,3,5.0,4.0
can,construction tower,3,5.0,4.0
can,remove bottom lid tube,3,5.0,4.0
can,draw perfect circle at bottom,4,5.0,4.5
can,bottom remove bracelet,3,4.0,3.5
can,buoy,4,4.0,4.0
can,book,1,1.0,1.0
can,book holder,4,5.0,4.5
can,bookmark,3,3.0,3.0
can,bookend,4,5.0,4.5
can,bookstop,4,5.0,4.5
can,bomb,4,3.0,3.5
can,boat,3,3.0,3.0
can,play boat puddles,3,3.0,3.0
can,plate,3,3.0,3.0
can,board game,3,4.0,3.5
can,bottle flip,4,4.0,4.0
can,build,3,5.0,4.0
can,thing throwing fair,3,5.0,4.0
can,circle cutter,4,4.0,4.0
can,cocktail glass,3,4.0,3.5
can,cool box,4,4.0,4.0
can,creative children decorations,3,4.0,3.5
can,dancing,3,3.0,3.0
can,decor,3,3.0,3.0
can,decoration behind wedding car,3,5.0,4.0
can,decoration figure,3,3.0,3.0
can,decoration house,3,3.0,3.0
can,dough roller,4,5.0,4.5
can,rolling pin,4,5.0,4.5
can,dough cutter,4,5.0,4.5
can,share,3,5.0,4.0
can,share cut work of art,3,4.0,3.5
can,door,2,3.0,2.5
can,door stop when filled,3,5.0,4.0
can,door setter,3,5.0,4.0
can,cooker,2,4.0,3.0
can,draw circle,4,5.0,4.5
can,container of water,5,5.0,5.0
can,container drink,5,5.0,5.0
can,save cola,5,5.0,5.0
can,drink cola,5,5.0,5.0
can,put in coke,5,5.0,5.0
can,cold pack,4,4.0,4.0
can,communication,3,4.0,3.5
can,communication tool string,3,4.0,3.5
can,communication device,3,4.0,3.5
can,means of communication,3,4.0,3.5
can,means of communication to weave string through your neighbors,3,4.0,3.5
can,communication system another piece of string,3,4.0,3.5
can,communicate cans ribbon between them,3,4.0,3.5
can,conservation tool,5,5.0,5.0
can,conserve,5,5.0,5.0
can,conserve food,5,5.0,5.0
can,container,5,5.0,5.0
can,container food,5,5.0,5.0
can,hearing aid rope between them communication distance,2,4.0,3.0
can,baseball,2,3.0,2.5
can,conductive material,4,4.0,4.0
can,clothing,2,3.0,2.5
can,clothing look,2,3.0,2.5
can,hanging clothes fabric,2,4.0,3.0
can,garment,3,4.0,3.5
can,small aquarium,3,3.0,3.0
can,stop small moving vehicle,5,3.0,4.0
can,children telephone,3,4.0,3.5
can,throwing away little frills,5,4.0,4.5
can,colour,3,4.0,3.5
can,kindergarten,3,4.0,3.5
can,clock,1,2.0,1.5
can,pinch,3,4.0,3.5
can,cut jewelry,3,4.0,3.5
can,cut toy,3,4.0,3.5
can,small pan,3,4.0,3.5
can,viewer,3,3.0,3.0
can,viewing box,3,4.0,3.5
can,kitchenware,3,3.0,3.0
can,put in candle,3,5.0,4.0
can,candle stopper,3,5.0,4.0
can,card holder,4,5.0,4.5
can,cheese slicer,3,2.0,2.5
can,gnome house,3,3.0,3.0
can,cover book,2,3.0,2.5
can,kick to pieces,3,4.0,3.5
can,straighten cupboard place it underneath,4,4.0,4.0
can,cone,4,4.0,4.0
can,pin bowling,4,4.0,4.0
can,fairground attraction,4,5.0,4.5
can,carnival game,4,5.0,4.5
can,christmas bauble,3,4.0,3.5
can,christmas tree decoration,3,4.0,3.5
can,christmas decorations,3,4.0,3.5
can,cut sand in it flower and shells in it,3,5.0,4.0
can,craft material,3,4.0,3.5
can,craft,3,4.0,3.5
can,children craft tin man robot,3,4.0,3.5
can,stool,4,2.0,3.0
can,art object,3,3.0,3.0
can,work of art,3,3.0,3.0
can,works of art,3,3.0,3.0
can,shitty decoration,3,3.0,3.0
can,brush holder,5,5.0,5.0
can,building lamp,3,4.0,3.5
can,lampion,3,4.0,3.5
can,lap,1,1.0,1.0
can,drop,3,3.0,3.0
can,noise king night,4,4.0,4.0
can,drink it down,5,5.0,5.0
can,empty,5,5.0,5.0
can,catch leak,5,4.0,4.5
can,spoon,3,3.0,3.0
can,herb container,4,5.0,4.5
can,candle,2,5.0,3.5
can,strength training,4,4.0,4.0
can,korfballs,2,4.0,3.0
can,toddlers crafting,3,4.0,3.5
can,craft supply,3,4.0,3.5
can,craft object,3,4.0,3.5
can,cookie tin,4,5.0,4.5
can,cookie jar,3,5.0,4.0
can,cooling element,4,4.0,4.0
can,cooler,4,4.0,4.0
can,store coffee beans,4,5.0,4.5
can,shot put,2,3.0,2.5
can,cook,2,4.0,3.0
can,bowl of food,3,5.0,4.0
can,cage,2,3.0,2.5
can,cooking utensils,2,3.0,2.5
can,cooking tools,2,3.0,2.5
can,buy,3,4.0,3.5
can,costume,2,3.0,2.5
can,money pot,5,5.0,5.0
can,dress,2,3.0,2.5
can,jembã,4,4.0,4.0
can,throw to get attention,4,4.0,4.0
can,throwing ball,3,4.0,3.5
can,throw you are angry,3,4.0,3.5
can,throwing dog harass,3,4.0,3.5
can,throw people,3,4.0,3.5
can,throwing in defense,3,4.0,3.5
can,throw object,3,4.0,3.5
can,throwing object,3,4.0,3.5
can,hair band,3,2.0,2.5
can,hair curlers,3,4.0,3.5
can,halloween costume,3,3.0,3.0
can,hammer,2,4.0,3.0
can,hammer in case emergency,2,4.0,3.0
can,hamster cage,3,2.0,2.5
can,hair roller,3,4.0,3.5
can,golf ball,2,3.0,2.5
can,goal posts,5,4.0,4.5
can,watering can,4,4.0,4.0
can,conductor,4,4.0,4.0
can,conductor current,4,4.0,4.0
can,sound,3,4.0,3.5
can,sound of hitting something musical instrument,3,4.0,3.5
can,sound music,3,4.0,3.5
can,amplify sound,4,5.0,4.5
can,sound thing outside wind,4,4.0,4.0
can,sound device,3,4.0,3.5
can,recycled clothing,2,3.0,2.5
can,give,3,4.0,3.5
can,lifting weight,3,4.0,3.5
can,weight napkins,3,5.0,4.0
can,weight tablecloth,4,5.0,4.5
can,weight lifting,3,4.0,3.5
can,weight,4,4.0,4.0
can,put your hand in it,3,3.0,3.0
can,glove,1,2.0,1.5
can,bicycle handles,2,3.0,2.5
can,build raft of cans together,3,4.0,3.5
can,holder pens,5,5.0,5.0
can,holder objects,4,5.0,4.5
can,build house,2,3.0,2.5
can,house building cans,2,3.0,2.5
can,home decorations,3,3.0,3.0
can,pet,2,1.0,1.5
can,cottage,2,3.0,2.5
can,build hut,3,3.0,3.0
can,icepack,4,4.0,4.0
can,canning,5,5.0,5.0
can,catching insects,5,5.0,5.0
can,irrigation barrel,2,3.0,2.5
can,insulation layer,2,4.0,3.0
can,insulation material,2,4.0,3.0
can,jacket,2,2.0,2.0
can,holder make up brushes,5,5.0,5.0
can,juggling,4,4.0,4.0
can,soft drinks holder,4,5.0,4.5
can,uphold,3,4.0,3.5
can,very ugly rubber duck,3,2.0,2.5
can,talking string,3,4.0,3.5
can,reuse cup,3,5.0,4.0
can,reuse bottle,3,5.0,4.0
can,noise,3,4.0,3.5
can,hobby projects,3,4.0,3.5
can,hockey ball,4,3.0,3.5
can,play hockey,4,3.0,3.5
can,hat,3,2.0,2.5
can,playing dog,2,5.0,3.5
can,punish dog,3,5.0,4.0
can,flower pots,5,5.0,5.0
can,play baseball,2,3.0,2.5
can,wear headgear,3,2.0,2.5
can,pillow,1,2.0,1.5
can,holder,3,5.0,4.0
can,flower pot,5,5.0,5.0
can,look at,5,5.0,5.0
can,flower holder,5,5.0,5.0
can,block mouse hole so that bugs don come in,4,3.0,3.5
can,music,4,4.0,4.0
can,music sound,4,4.0,4.0
can,musical instrument,4,4.0,4.0
can,copy,5,5.0,5.0
can,put down,5,5.0,5.0
can,murder weapon,3,3.0,3.0
can,fake phone,4,5.0,4.5
can,coaster,4,5.0,4.5
can,open,5,5.0,5.0
can,open nice cola shower,5,5.0,5.0
can,cut open jewelry,3,4.0,3.5
can,pick up,5,5.0,5.0
can,storage pens,5,5.0,5.0
can,knock over fair,5,5.0,5.0
can,decorate as best as possible,3,3.0,3.0
can,knife,4,4.0,4.0
can,take with you on road,5,5.0,5.0
can,children crafting,5,5.0,5.0
can,press small,5,5.0,5.0
can,tie bobbins behind bicycle,5,5.0,5.0
can,cooling,5,5.0,5.0
can,come,5,5.0,5.0
can,faraday cage,5,5.0,5.0
can,little cup,5,4.0,4.5
can,crane,2,2.0,2.0
can,art,3,3.0,3.0
can,artwork,3,3.0,3.0
can,remove tag from earring,2,5.0,3.5
can,cutting label,4,4.0,4.0
can,lamp,2,4.0,3.0
can,lip can dress shirt,3,4.0,3.5
can,lunch tray,5,5.0,5.0
can,storage tank,4,5.0,4.5
can,collecting rain leaks,5,5.0,5.0
can,pan lid,4,4.0,4.0
can,pencil box,5,5.0,5.0
can,shake open,5,5.0,5.0
can,sex toy,2,2.0,2.0
can,ornament,3,4.0,3.5
can,jewelry box,5,5.0,5.0
can,keychain,4,5.0,4.5
can,garlands,5,5.0,5.0
can,cut,4,4.0,4.0
can,soup bowl,5,5.0,5.0
can,toys,4,4.0,4.0
can,toys of it,4,4.0,4.0
can,toys under feet,4,4.0,4.0
can,shooting game,4,4.0,4.0
can,mirror,2,2.0,2.0
can,stand,4,5.0,4.5
can,pollute street,5,5.0,5.0
can,shake,5,5.0,5.0
can,chain tabs,3,4.0,3.5
can,shooting object,3,3.0,3.0
can,smash window,4,4.0,4.0
can,skateboard on it,3,2.0,2.5
can,plastic container lid,5,5.0,5.0
can,close plastic bag,5,5.0,5.0
can,flattening ice hockey,4,5.0,4.5
can,smashing objects,5,5.0,5.0
can,jar lid,4,5.0,4.5
can,talk through it,4,5.0,4.5
can,try break,5,5.0,5.0
can,keep window open,5,5.0,5.0
can,rocket engine,1,1.0,1.0
can,rattle,4,4.0,4.0
can,advertising on it,5,5.0,5.0
can,recycle,5,5.0,5.0
can,roll,5,5.0,5.0
can,rolling bowling ball,4,5.0,4.5
can,sharp edge of paper cutting,4,4.0,4.0
can,chain,3,4.0,3.5
can,chewing gum container,5,5.0,5.0
can,candle in it for mood lighting,5,5.0,5.0
can,throw ball against pile of cans,5,5.0,5.0
can,bury,5,5.0,5.0
can,wallpaper,3,3.0,3.0
can,cup holder,5,4.0,4.5
can,call,4,5.0,4.5
can,gas tank,3,3.0,3.0
can,specifications,3,3.0,3.0
can,beer opener,5,5.0,5.0
can,throwing cans,5,5.0,5.0
can,cans of string through it to make phone calls,4,5.0,4.5
can,put flowers,5,5.0,5.0
can,flowerpot,5,5.0,5.0
can,closing boat leaking,3,3.0,3.0
can,bowling,3,3.0,3.0
can,glasses cans bottom out,3,3.0,3.0
can,ball games like football,5,4.0,4.5
can,belly can line move,5,4.0,4.5
can,ball,5,4.0,4.5
can,tub,5,5.0,5.0
can,indicate certain point,5,5.0,5.0
can,behind car,5,5.0,5.0
can,behind car tie newly married couple,5,5.0,5.0
can,hanging behind car is getting married,4,5.0,4.5
can,hang behind wedding car,4,5.0,4.5
can,waste,5,5.0,5.0
can,throwing in waste,5,5.0,5.0
can,garbage bin,5,5.0,5.0
can,washing up,2,4.0,3.0
can,aluminum containers,5,5.0,5.0
can,folding aluminum foil cone,5,5.0,5.0
can,ashtray,5,5.0,5.0
can,car,3,3.0,3.0
can,car folding,3,3.0,3.0
can,little car,3,3.0,3.0
can,store things in container,5,5.0,5.0
can,toothbrush holder,5,5.0,5.0
can,chemical waste barrel,2,2.0,2.0
can,decoration,3,3.0,3.0
can,throwing material,5,5.0,5.0
can,large chain stone,4,4.0,4.0
can,hair bun around it,3,4.0,3.5
can,dumbbells,5,4.0,4.5
can,hand training crumple,4,4.0,4.0
can,handbag,2,3.0,2.5
can,heat cooking baking,4,5.0,4.5
can,reuse,5,5.0,5.0
can,hockey puck,4,5.0,4.5
can,headgear,4,3.0,3.5
can,ice cream mould,3,4.0,3.5
can,ice hockey puck,4,5.0,4.5
can,instrument,4,4.0,4.0
can,yoyo,2,3.0,2.5
can,candle stand,5,5.0,5.0
can,throw,5,5.0,5.0
can,creative projects,3,3.0,3.0
can,glass,5,5.0,5.0
can,poke holes,5,5.0,5.0
can,dough roll differently,5,4.0,4.5
can,door stopper,5,3.0,4.0
can,store things,5,5.0,5.0
can,save things,5,5.0,5.0
can,shower head,3,4.0,3.5
can,wired telephone,4,5.0,4.5
can,drink pack,5,5.0,5.0
can,drinks,5,5.0,5.0
can,electricity conductor,4,3.0,3.5
can,electrical connection,4,3.0,3.5
can,children walk on it with stilts rope attached to it,4,4.0,4.0
can,stand on stage,4,5.0,4.5
can,sit on stool,4,5.0,4.5
can,drink from it,5,5.0,5.0
can,bottle,4,4.0,4.0
can,shower head pokes holes,3,5.0,4.0
can,insert flowers,5,5.0,5.0
can,throw at someone head,5,5.0,5.0
can,against tapping music,4,5.0,4.5
can,housing,3,4.0,3.5
can,cup,4,5.0,4.5
can,drink cup,4,5.0,4.5
can,nice statue,3,3.0,3.0
can,call bike,3,3.0,3.0
can,plaster,5,5.0,5.0
can,limit,3,4.0,3.5
can,pile of things,4,5.0,4.5
can,protective shield,2,3.0,2.5
can,protection from sun,3,4.0,3.5
can,paint,4,4.0,4.0
can,cutlery,5,5.0,5.0
can,cutlery tray,5,5.0,5.0
can,cutlery holder,5,5.0,5.0
can,protect sunlight,3,4.0,3.5
can,beer pong glass,4,5.0,4.5
can,sculpture,3,3.0,3.0
can,images object,3,3.0,3.0
can,bin,4,5.0,4.5
can,store container of food,5,5.0,5.0
can,pet food storage container,5,5.0,5.0
can,tub of example pens,5,5.0,5.0
can,tub of stuff,4,5.0,4.5
can,ball game,3,4.0,3.5
can,balance,5,4.0,4.5
can,balance trick,5,4.0,4.5
can,throwing bales,5,5.0,5.0
can,ball throwing fair,5,5.0,5.0
can,throw balls,5,5.0,5.0
can,ball game that knocks over cans like fair,5,5.0,5.0
can,bank,3,2.0,2.5
can,barbecue chicken over it,4,5.0,4.5
can,barrier,3,4.0,3.5
can,order,5,5.0,5.0
can,means of payment,3,2.0,2.5
can,save container,4,5.0,4.5
can,save canned things,4,5.0,4.5
can,can rocket,2,4.0,3.0
can,save cans,3,5.0,4.0
can,paint cans for decoration,3,4.0,3.5
can,can foundation,2,3.0,2.5
can,children can building house,3,4.0,3.5
can,can tower,4,5.0,4.5
can,tin man wizard oz,4,5.0,4.5
can,building tin tower throwing,5,5.0,5.0
can,tin kick,4,5.0,4.5
can,playing tin can kick,4,5.0,4.5
can,can kick games in past,4,5.0,4.5
can,stilts,4,5.0,4.5
can,can phone,4,4.0,4.0
can,flower vase,5,5.0,5.0
can,flower box,5,5.0,5.0
can,stacking cans,5,5.0,5.0
can,bait,4,3.0,3.5
can,cans makes phone,3,4.0,3.5
can,can car,3,3.0,3.0
can,save thing,4,5.0,4.5
can,save jar,4,5.0,4.5
can,custodian other,4,5.0,4.5
can,save,4,5.0,4.5
can,knock out,3,4.0,3.5
can,drinking beer,5,5.0,5.0
can,open beer,4,5.0,4.5
can,beer swords game,3,5.0,4.0
can,collect leaves,4,5.0,4.5
