research_id,response_id,respondent_id,object,original_response,cleaned_response,original_translated,translated_response,utility_rater02
NAT202401,7712,2813,brick,Gebruiken om iets kapot te maken,break,To use to break something,break,
NAT202401,7729,2813,brick,hamer,hammer,hammer,hammer,
NAT202401,7813,2814,brick,Eitje mee stukslaan,Smash egg,To break an egg,smash egg,
NAT202401,7889,2815,brick,slopen,demolish,to demolish,demolish,
NAT202401,8005,2817,brick,moordwapen,murder weapon,murder weapon,murder weapon,
NAT202401,8006,2817,brick,in stukken slaan als oefening,smashing pieces exercise,to break into pieces as an exercise,smash to pieces,
NAT202401,8013,2817,brick,ongedierte afmaken,killing pests,to kill pests,killing pests,
NAT202401,8057,2818,brick,hamer,hammer,hammer,hammer,
NAT202401,8060,2818,brick,projectiel,projectile,projectile,projectile,
NAT202401,8062,2818,brick,"eenmaal stuk geslagen, gruis",smashed  grit,"once broken, grit",smash,
NAT202401,8064,2818,brick,wapen,weapon,weapon,weapon,
NAT202401,8107,2819,brick,breken,break,to break,break,
NAT202401,8122,2819,brick,minecraft,minecraft,minecraft,minecraft game,
NAT202401,8125,2819,brick,iemand pijn doen,hurt,to hurt someone,hurt,
NAT202401,8222,2820,brick,je kunt er mensen mee bedreigen,threaten people,you can use it to threaten,threaten,
NAT202401,16048,2820,brick,dolk,dagger,dagger,dagger,
NAT202401,16049,2820,brick,blad,blade,blade,blade,
NAT202401,8238,2820,brick,Je kunt er een zwaard mee smeden,forge sword,You can forge a sword with it,sword,
NAT202401,8362,2823,brick,Injuring someone,Injuring,Injuring someone,injure,
NAT202401,8373,2823,brick,Weapon,Weapon,Weapon,weapon,
NAT202401,8609,2827,brick,ruit ingooien,smash window,smash a window,smash,
NAT202401,8616,2827,brick,er iets mee vermoorden ,kill,kill someone with it,kill,
NAT202401,8619,2827,brick,het gebruiken om iets te slopen ,destroy,use it to destroy something,destroy,
NAT202401,8622,2827,brick,erop stampen als anger management ,stomping anger management,stomp on it as anger management,anger management tool,
NAT202401,8707,2828,brick,Insecten mee pletten,Crush insects,Squash insects with it,crush insects,
NAT202401,8757,2830,brick,slopen,demolish,demolish,demolish,
NAT202401,8758,2830,brick,breken,break,break,break,
NAT202401,8763,2830,brick,verpletteren,crush,crush,crush,
NAT202401,8955,2833,brick,als schietschijf gebruken ,target practice,use as a target,target practice,
NAT202401,9014,2836,brick,Iemand pijn doen,Hurt,Hurt someone,hurt,
NAT202401,9020,2836,brick,kapot gooien,smash,smash,smash,
NAT202401,9083,2837,brick,wapen,weapon,weapon,weapon,
NAT202401,9167,2838,brick,om iets kapot mee te maken,break,to break something with,break,
NAT202401,9213,2840,brick,wapen,weapon,weapon,weapon,
NAT202401,9215,2840,brick,iets mee open breken,break open,to break something open,break open,
NAT202401,9363,2842,brick,Iets open te breken,break open,To break something open,break open,
NAT202401,9377,2842,brick,Iets stuk te gooien,smash,To smash something,smash,
NAT202401,9447,2844,brick,Iemand doodslaan,Kill,To kill someone,kill,
NAT202401,9510,2845,brick,breken,break,To break,break,
NAT202401,9609,2846,brick,als iets kapot moet,broken,To break something,break,
NAT202401,9718,2848,brick,kill someone,kill,To kill someone,kill,
NAT202401,9860,2852,brick,In stukjes hakken,Chop pieces,Chop into pieces,chop pieces,
NAT202401,9864,2852,brick,Als wapen gebruiken (door naar iemand te gooien),weapon,Use as a weapon (by throwing at someone),weapon,
NAT202401,9931,2854,brick,een mier doden,kill ant,kill an ant,kill ant,
NAT202401,10004,2856,brick,iemand vermorden (again),kill,murder someone (again),kill,
NAT202401,10012,2856,brick,nieuwe bakstenen maken na stukmaken,making new breaking,make new bricks after breaking them,break,
NAT202401,10078,2857,brick,noten kraken ,crack nuts,crack nuts,crack nuts,
NAT202401,10125,2858,brick,iets stuk gooien,break,throw something to pieces,break,
NAT202401,10175,2862,brick,kapot gooien ,smash,smash something,smash,
NAT202401,10189,2862,brick,iets plat slaan ,smash flat,smash something flat,smash flat,
NAT202401,10247,2863,brick,'baksteen' stoten ,brick  punches,pound a 'brick',punch,
NAT202401,10295,2864,brick,moordwapen ,murder weapon,murder weapon,murder weapon,
NAT202401,10351,2867,brick,Je kan er iemand mee dood maken,kill,You can kill someone with it,kill,
NAT202401,10442,2869,brick,iemand vermoorden ,kill,murder someone,kill,
NAT202401,10445,2869,brick,verpletter het en maak zand,crush make sand,crush it and make sand,crush into sand,
NAT202401,10493,2870,brick,"wapen (je kan er iemand hersenen mee inslaan, of een winkelruit)",weapon,"weapon (you can bash someone's brains out with it, or a shop window)",weapon,
NAT202401,10498,2870,brick,je kan er zachte grond mee weghakken,chop away soft soil,you can chop away soft ground with it,chop soil,
NAT202401,10500,2870,brick,je kan er dingen mee slopen door ermee te hakken,demolish chopping,you can demolish things with it by chopping with it,chop,
NAT202401,10507,2870,brick,Je kan het als hamer gebruiken,hammer,You can use it as a hammer,hammer,
NAT202401,10571,2871,brick,kapot slaan,smash,break it,smash,
NAT202401,10640,2874,brick,als zelfverdedigings wapen,selfdefense weapon,as a self-defense weapon,selfdefense weapon,
NAT202401,10643,2874,brick,je kan er iemand mee doodslaan en of verwonden,kill injure,you can kill someone with it and/or injure them,kill or injure,
NAT202401,10735,2875,brick,Hamer,Hammer,Hammer,hammer,
NAT202401,10745,2875,brick,Wapen,Weapon,Weapon,weapon,
NAT202401,10795,2876,brick,wapen,weapon,weapon,weapon,
NAT202401,11029,2880,brick,walnoten mee kraken,crack walnuts,crack walnuts with,crack walnuts,
NAT202401,11098,2881,brick,wapen,weapon,weapon,weapon,
NAT202401,11105,2881,brick,iemand verwonden,injure,injure someone,injure,
NAT202401,11114,2881,brick,moord plegen,commit murder,commit murder,commit murder,
NAT202401,11194,2882,brick,als wapen,weapon,as a weapon,weapon,
NAT202401,11195,2882,brick,om insecten mee dood te maken,kill insects,to kill insects with,kill insects,
NAT202401,11292,2883,brick,wapen,weapon,weapon,weapon,
NAT202401,11485,2886,brick,om een slot mee open te slaan,pick lock,to pick a lock with,pick lock,
NAT202401,11489,2886,brick,een spin doodslaan,kill spider,kill a spider,kill spider,
NAT202401,11490,2886,brick,een mug dood slaan,kill mosquito,kill a mosquito,kill mosquito,
NAT202401,11491,2886,brick,een wesp dood slaan,kill wasp,kill a wasp,kill wasp,
NAT202401,11541,2900,brick,als hamer,hammer,as a hammer,hammer,
NAT202401,11543,2900,brick,als wapen,weapon,as a weapon,weapon,
NAT202401,11546,2900,brick,om noten te kraken,crack nuts,to crack nuts,crack nuts,
NAT202401,11600,2901,brick,iets kapot maken,break,break something,break,
NAT202401,11610,2901,brick,iets breken,break,break something,break,
NAT202401,11733,2904,brick,gebruik om naar de politie te gooien (en in de gevangenis te komen),throw police,use to throw at the police (and get into jail),throw at police,
NAT202401,11787,2906,brick,als wapen,weapon,as a weapon,weapon,
NAT202401,11860,2907,brick,kapot gooien tegen een muur,smash wall,to smash against a wall,smash wall,
NAT202401,11865,2907,brick,jezelf verdedigen,defend,to defend yourself,self-defense,
NAT202401,12025,2911,brick,stuk gooien ,throw pieces,to smash,make pieces,
NAT202401,12026,2911,brick,in stukken hakken ,chop pieces,chop into pieces,chop into pieces,
NAT202401,12032,2911,brick,kleine steentjes van maken die weer bij elkaar doen en weer een baksteen maken,make small stones put together make,to make small stones that you put back together to make a brick,break and reassemble,
NAT202401,12231,2913,brick,rellen ,riot,to riot,riot,
NAT202401,12312,2914,brick,use as a weapon,weapon,use as a weapon,weapon,
NAT202401,12371,2915,brick,wapen ,weapon,weapon,weapon,
NAT202401,12434,2917,brick,Anti-inbreker wapen,Antiburglar weapon,Anti-burglar weapon,antiburglar weapon,
NAT202401,12436,2917,brick,Vervanging voor een hamer,Replacement hammer,Replacement for a hammer,hammer,
NAT202401,12626,2919,brick,iemand mee pijn doen ,hurt,to hurt someone,hurt,
NAT202401,12631,2919,brick,katapult ,catapult,catapult,catapult,
NAT202401,12707,2920,brick,wapen,weapon,weapon,weapon,
NAT202401,12712,2920,brick,te pletten,crush,to crush,crush,
NAT202401,12843,2923,brick,vergruizen ,crush,to crush,crush,
NAT202401,12844,2923,brick,wapen,weapon,weapon,weapon,
NAT202401,12880,2924,brick,als wapen ,weapon,as a weapon,weapon,
NAT202401,12921,2925,brick,breken,break,to break,break,
NAT202401,12924,2925,brick,als wapen gebruiken,weapon,to use as a weapon,weapon,
NAT202401,12934,2925,brick,intimideren,intimidate,to intimidate,intimidate/threaten,
NAT202401,12980,2927,brick,kapot gooien,smash,to smash,smash,
NAT202401,12983,2927,brick,moordwapen,murder weapon,to murder,murder weapon,
NAT202401,12984,2927,brick,zelfverdediging,self defense,self-defense,self defense,
NAT202401,13034,2928,brick,dingen ingooien (ruiten bijv.),smashing,to smash things (e.g. windows),smash,
NAT202401,13090,2931,brick,als wapen gebruiken,weapon,to use as a weapon,weapon,
NAT202401,13091,2931,brick,jezelf mee verdedigen ,defend,to defend yourself,self-defense,
NAT202401,13326,2934,brick,er iets kapot mee gooien,smash,to smash something,smash,
NAT202401,13438,2936,brick,Je kan het gebruiken om dingen te pletten,crush,You can use it to crush things,crush,
NAT202401,13439,2936,brick,Gebruiken om spullen kapot te maken die je kapot wilt hebben,break want broken,Use to break things you want to break,break want broken,
NAT202401,13484,2937,brick,iemand pijn doen,hurt,to hurt someone,hurt,
NAT202401,13486,2937,brick,iemands tanden breken,break s teeth,to break someone's teeth,break teeth,
NAT202401,13498,2937,brick,om dingen kapot te maken,break,to break things,break,
NAT202401,13636,2939,brick,wapen,weapon,weapon,weapon,
NAT202401,13722,2940,brick,hamer,hammer,hammer,hammer,
NAT202401,13794,2941,brick,kapot maken,destroy,to break,destroy,
NAT202401,13797,2941,brick,in stukken slaan,smash pieces,to smash things,smash,
NAT202401,13801,2941,brick,om dingen te vermorselen,crush,to crush things,crush,
NAT202401,13802,2941,brick,om slakken mee te doden,kill snails,to kill snails,kill snails,
NAT202401,13809,2941,brick,een stoel mee kapot maken,break chair,to break a chair,break chair,
NAT202401,13812,2941,brick,een hek slopen,demolish fence,to demolish a fence,demolish fence,
NAT202401,13969,2942,brick,iemand bezeren,hurt,to hurt someone,hurt,
NAT202401,13977,2942,brick,als hamer gebruiken,hammer,to use as a hammer,hammer,
NAT202401,14060,2944,brick,iemand vermoorden,kill,to murder someone,kill,
NAT202401,14061,2944,brick,wapen,weapon,weapon,weapon,
NAT202401,14132,2946,brick,hamer,hammer,hammer,hammer,
NAT202401,14190,2947,brick,als moordwapen,murder weapon,as a murder weapon,murder weapon,
NAT202401,14191,2947,brick,om in te breken,break,to break in,break,
NAT202401,14353,2950,brick,Er een pot mee breken die je niet open krijgt,Break pot ca open,to break a pot that you can't open,break pot,
NAT202401,14359,2950,brick,Ongedierrte mee doden,Kill pests,to kill pests,kill pests,
NAT202401,14360,2950,brick,Ergens tegenaan gooien om je negatieve gevoelens even te uiten,Throw express negative feelings,to throw against something to express your negative feelings,throw in anger,
NAT202401,14362,2950,brick,Gebruiken als wapen,weapon,to use as a weapon,weapon,
NAT202401,14427,2951,brick,als hamer gebruiken om verfblik dicht te duwen,hammer close paint,to use as a hammer to close a paint can,hammer,
NAT202401,14487,2952,brick,dingen kapot maken,break stuff,to break things,break stuff,
NAT202401,14862,2960,brick,als wapen,weapon,as a weapon,weapon,
NAT202401,14876,2960,brick,er iets mee pletten,crush,to crush something with,crush,
NAT202401,14964,2962,brick,als wapen (om jezelf te verdedigen bijvoorbeeld),weapon,as a weapon (to defend yourself for example),weapon,
NAT202401,14967,2962,brick,om andere dingen kapot mee te maken (dmv het gewicht en kracht en snelheid),destroy,to break other things with (by means of weight and force and speed),destroy,
NAT202401,15078,2964,brick,Als zelfverdedigingsmiddel of moordwapen,means selfdefense murder weapon,as a means of self-defense or murder weapon,self-defense,
NAT202401,15082,2964,brick,Als hamer/om kracht te zetten op iets,hammerto apply force,as a hammer/to put force on something,hammer,
NAT202401,15089,2964,brick,Om iets te slopen (auto/fiets/etc.),demolish,to demolish something (car/bike/etc.),demolish ,
NAT202401,15158,2965,brick,als hamer gebruiken,hammer,to use as a hammer,hammer,
NAT202401,15291,2970,brick,als hamer gebruiken,hammer,to use as a hammer,hammer,
NAT202401,15292,2970,brick,dingen kapot maken ,break stuff,to break things,break,
NAT202401,15366,2972,brick,als woede coping materiaal (op de grond gooien tot stuk gaat),anger coping material,as anger coping material (to throw on the ground until it breaks),throw in anger,
NAT202401,15375,2972,brick,Als geweldsmiddel,means violence,as a means of violence,violence,
NAT202401,570,2672,brick,gewichten om te trainen,weights training,weights to train,weights training,
NAT202401,757,2674,brick,Gewicht om mee te trainen,Weight training,weight to train with,weight training,
NAT202401,1217,2680,brick,gewicht op te trainen,weight training,weight to train on,weight training,
NAT202401,1844,2692,brick,gewicht sportschool,weight gym,weight gym,weight gym,
NAT202401,1981,2694,brick,om mee te nemen als je gaat hardlopen en je wil meer gewicht,take go running want weight,to take with you if you are going to run and you want more weight,exercise weight,
NAT202401,2171,2697,brick,fitness,fitness,fitness,fitness,
NAT202401,2311,2699,brick,gebruiken als gewicht om je armspieren te treden,weight work arm muscles,use as weight to train your arm muscles,exercise weight,
NAT202401,2409,2700,brick,liften om spieren te trainen,lifts train muscles,lift to train muscles,weight training,
NAT202401,2567,2702,brick,krachtsport doen,strength sports,do strength sports,exercise weight,
NAT202401,2865,2707,brick,gebruiken om gewicht te heffen ,lift weights,use to lift weights,weight lifting,
NAT202401,2922,2708,brick,als workout gewichten,workout weights,as workout weights,exercise weight,
NAT202401,2997,2709,brick,gebruiken als gewichten tijdens het sporten,weights exercise,use as weights during sports,exercise weight,
NAT202401,3050,2711,brick,gewichtheffen,weight lifting,weight lifting,weight lifting,
NAT202401,3170,2713,brick,als gewicht gebruiken voor gewicht heffen,weight weight lifting,use as weight for weight lifting,weight lifting,
NAT202401,3376,2716,brick,gebruiken als gewicht (om te sporten),weight,use as weight (for sports),exercise weight,
NAT202401,3441,2717,brick,weight lift,weight lift,weight lift,weight lift,
NAT202401,3588,2719,brick,traingewicht,training weight,train weight,weight lifting,
NAT202401,3823,2724,brick,je kan er mee sporten,exercise,you can use it for sports,exercise weight,
NAT202401,3995,2728,brick,sporten (als gewichten gebruiken),exercise,sports (use as weights),exercise weight,
NAT202401,4045,2729,brick,bicep curls doen,bicep curls,do bicep curls,bicep curls,
NAT202401,4049,2729,brick,op je rug leggen bij het doen van push-ups,lay back pushups,lay on your back when doing push-ups,exercise weight,
NAT202401,4314,2739,brick,gewicht voor sporten,weight sports,weight for sports,exercise weight,
NAT202401,4450,2741,brick,Gewichtheffen,Weightlifting,Weight lifting,weightlifting,
NAT202401,4632,2746,brick,voor gewicht heffen gebruiken,weight lifting,use for weight lifting,weight lifting,
NAT202401,4723,2747,brick,fitness atribuut (gewichten),fitness attribute,fitness attribute (weights),exercise weight,
NAT202401,4724,2747,brick,yogablok,yoga block,yoga block,yoga weight,
NAT202401,4856,2749,brick,hem optillen voor krachttraining,lifting strength training,lift it for strength training,weight lifting,
NAT202401,5266,2758,brick,gebruiken om mee te sporten (push ups met een baksteen op je rug),exercise,use for sports (push ups with a brick on your back),exercise weight,
NAT202401,5392,2760,brick,gewicht gebruiken voor gewichheffen/sporten,weight weight liftingexercise,use weight for weight lifting/sports,weight lifting,
NAT202401,5540,2762,brick,voor gewichtheffen ,weight lifting,for weight lifting,weight lifting,
NAT202401,5928,2771,brick,Gewichtsheffen ,Weightlifting,Weight lifting,weightlifting,
NAT202401,6028,2774,brick,gewicht voor fitness,weight fitness,weight for fitness,weight fitness,
NAT202401,6205,2778,brick,gewicht voor workouts,weight workouts,weight for workouts,weight workouts,
NAT202401,6640,2786,brick,trainings gewicht,training weight,training weight,training weight,
NAT202401,6847,2789,brick,als sport gewicht,sport weight,as sports weight,sport weight,
NAT202401,7073,2793,brick,sport gewicht,sports weight,sports weight,sports weight,
NAT202401,7169,2794,brick,workout gewicht,workout weight,workout weight,workout weight,
NAT202401,7329,2796,brick,Gebruiken als gewichten km te trainen ,weights train km,Use as weights km to train,training weights,
NAT202401,7551,2805,brick,work out gewicht,workout weight,work out weight,workout weight,
NAT202401,7717,2813,brick,trainingsgewicht,training weight,training weight,training weight,
NAT202401,7955,2816,brick,trainen (als gewichtjes gebruiken om spieren te trainen),training,training (use as weights to train muscles),weight training,
NAT202401,8226,2820,brick,"Je kunt er mee trainen, als gewicht",train weight,"You can train with it, as a weight",training weight,
NAT202401,8621,2827,brick,het gebruiken om door te hakken zoals bij karate ,cut karate,use it to chop through like in karate,karate weight,
NAT202401,8699,2828,brick,Gewichtheffen,Weightlifting,Weightlifting,weightlifting,
NAT202401,8947,2833,brick,mee sporten (gewicht) ,participate sports,sports with (weight),sports weight,
NAT202401,9015,2836,brick,Als gewicht gebruiken bij het sporten,weight exercising,Use as a weight in sports,weight exercising,
NAT202401,9090,2837,brick,sportinstrument/gewicht,sports instrumentweight,sports instrument/weight,sports weight,
NAT202401,10241,2863,brick,omknopen als gewichten voor hardlopen ,tie weights running,tie around as weights for running,running weights,
NAT202401,10496,2870,brick,je kan het als gewicht gebruiken bij het sporten,weight exercising,you can use it as a weight in sports,exercise weight,
NAT202401,10575,2871,brick,meenemen tijdens het hardlopen voor extra uitdaging,Take running extra challenge,take with you while running for an extra challenge,running weight challenge,
NAT202401,10647,2874,brick,je kunt er mee sporten als gewicht,exercise weight,you can exercise with it as a weight,exercise weight,
NAT202401,10811,2876,brick,gewichtheffen,weight lifting,weightlifting,weight lifting,
NAT202401,10913,2878,brick,als dumbell voor gewichtentraining,dumbbell weight training,as a dumbbell for weight training,weight training dumbbell,
NAT202401,10915,2878,brick,je zou hem kunnen gebruiken als dat dingen waar men in curling mee curlt ofzo,could people curl curling,you could use it as things that people curl with in curling or something,curl,
NAT202401,11190,2882,brick,als gewichten voor bij het sporten,weights exercise,as weights for sports,weights exercise,
NAT202401,11362,2884,brick,Gebruiken als step om te sporten,scooter exercise,Use as a step for sports,exercise,
NAT202401,11363,2884,brick,Als gewicht gebruiken tijdens sporten,weight exercise,Use as a weight during sports,exercise weight,
NAT202401,11540,2900,brick,als gewicht om mee te sporten,weight exercise,as a weight to exercise with,weight exercise,
NAT202401,11605,2901,brick,als gewicht gebruiken tijdens het sporten,weight exercise,use as a weight during sports,exercise weight,
NAT202401,11729,2904,brick,laat karate mensen ze breken,let karate people break,let karate people break them,karate weight,
NAT202401,11730,2904,brick,gebruik als gewicht als vervanging voor een dumbell in de gym,weight replacement dumbbell gym,use as a weight as a replacement for a dumbbell in the gym,exercise weight,
NAT202401,11785,2906,brick,als gewicht om mee te trainen,weight training,as a weight to train with,weight training,
NAT202401,11938,2910,brick,gewicht voor je workout ,weight workout,weight for your workout,exercise weight,
NAT202401,12147,2912,brick,als fitnessgewicht ,fitness weight,as a fitness weight,fitness weight,
NAT202401,12243,2913,brick,liften (sterker worden),lift,lifting (getting stronger),lift weight,
NAT202401,12317,2914,brick,use as a weight in fitness,weight fitness,use as a weight in fitness,fitness weight,
NAT202401,12369,2915,brick,fitnessgewicht ,fitness weight,fitness weight,fitness weight,
NAT202401,12444,2917,brick,In een tas stoppen en als gewicht gebruiken om te trainen,Put bag weight training,Put in a bag and use as a weight for training,weight training,
NAT202401,12527,2918,brick,ipv van dumbels,instead dumbbells,instead of dumbbells,dumbbell weight,
NAT202401,12528,2918,brick,in tas om te trainee voor wandelen,bag trainee hiking,in bag to train for walking,hiking training,
NAT202401,12846,2923,brick,sporten (gewicht),sports,sports (weight),sports weight,
NAT202401,12925,2925,brick,karate,karate,karate,karate weight,
NAT202401,13035,2928,brick,als sportgewicht,sports weight,as a sports weight,sports weight,
NAT202401,13092,2931,brick,gebruiken voor fitness ,fitness,use for fitness,fitness weight,
NAT202401,13263,2933,brick,Gewichtheffen,Weightlifting,Weightlifting,weightlifting,
NAT202401,13328,2934,brick,als gewichtheffers gebruiken,weightlifters,use as weightlifters,weight lifting,
NAT202401,13547,2938,brick,sport gewicht,sports weight,sport weight,sports weight,
NAT202401,13630,2939,brick,karate oefeningsblok,karate exercise block,karate exercise block,karate weight,
NAT202401,13639,2939,brick,gewichten heffen,lift weights,lifting weights,weight lifting,
NAT202401,13730,2940,brick,als trainingsgewicht gebruiken,training weight,use as a training weight,weight training,
NAT202401,13975,2942,brick,gewichtheffen ,weight lifting,weightlifting,weight lifting,
NAT202401,8330,2822,paperclip,enkelband,ankle band,ankle strap,ankle band,
NAT202401,8413,2823,paperclip,Antenna,Antenna,Antenna,antenna,
NAT202401,8415,2823,paperclip,Finger splint,Finger splint,Finger splint,finger splint,
NAT202401,8419,2823,paperclip,Sling shot,Sling shot,Sling shot,sling shot,
NAT202401,8521,2824,paperclip,een ballon lek prikken,puncture balloon,puncture a balloon,puncture balloon,
NAT202401,8566,2825,paperclip,iets mee doorprikken,pierce,puncture something with it,pierce,
NAT202401,8635,2827,paperclip,om je nagels doen en mee tikken ,put nails tap,put around your nails and tap with it,put on nails and tap,
NAT202401,8638,2827,paperclip,uitvouwen en gebruiken als ring,unfold ring,unfold and use as a ring,ring,
NAT202401,8713,2828,paperclip,Een ring van maken,Make ring,Make a ring,make ring,
NAT202401,8767,2830,paperclip,sleutel,key,key,key,
NAT202401,8769,2830,paperclip,eten,eat,eat,eat,
NAT202401,8771,2830,paperclip,por,poke,poke,poke,
NAT202401,8772,2830,paperclip,schoon,beautiful,beautiful,beautiful,
NAT202401,8776,2830,paperclip,dat is het?!, ,that's it?!, ,
NAT202401,8777,2830,paperclip,Ik kan echt niets meer bedenken,really ca think anything,I really can't think of anything else,really ca think anything,
NAT202401,8778,2830,paperclip,je kunt er iemand mee porren,poke,you can poke someone with it,poke,
NAT202401,16063,2830,paperclip,mengen,mix,mix,mix,
NAT202401,8779,2830,paperclip,mengen,blend,mix,blend,
NAT202401,8844,2831,paperclip,om te prikken,prick,to prick,prick,
NAT202401,8906,2832,paperclip,doorboren,pierce,pierce,pierce,
NAT202401,8915,2832,paperclip,raam op een kier openhouden,keep window open crack,hold a window open a crack,keep window open crack,
NAT202401,8962,2833,paperclip,te verruilen voor iets beters ,exchange better,exchange for something better,exchange,
NAT202401,8966,2833,paperclip,geld bij elkaar houden,keep money together,keep money together,keep money together,
NAT202401,8970,2833,paperclip,laten vallen om te checken of het stil is,drop check quiet,drop it to check if it's quiet,pin drop silence test,
NAT202401,8974,2833,paperclip,iets openprikken ,poke open,pierce something,poke open,
NAT202401,9042,2836,paperclip,Een ring van maken,Make ring,make a ring,ring,
NAT202401,9045,2836,paperclip,Verzamelen,Collect,collect,collect,
NAT202401,9048,2836,paperclip,als nep beugel gebruiken,fake brace,use as fake braces,fake brace,
NAT202401,9051,2836,paperclip,Papiergeld bij elkaar houden,Keep paper money together,keep paper money together,keep money together,
NAT202401,9116,2837,paperclip,speelgoed,toys,toys,toys,
NAT202401,9122,2837,paperclip,sleutel,key,key,key,
NAT202401,9123,2837,paperclip,springveer,coil spring,coil spring,coil spring,
NAT202401,9177,2838,paperclip,iets prikken ,prick,prick something,prick,
NAT202401,9222,2840,paperclip,ring,ring,ring,ring,
NAT202401,9225,2840,paperclip,puistjes uitknijpen ,squeezing pimples,squeeze pimples,squeezing pimples,
NAT202401,9299,2841,paperclip,ring,ring,ring,ring,
NAT202401,9300,2841,paperclip,hoed,hat,hat,hat,
NAT202401,16064,2841,paperclip,jersey,jersey,jersey,jersey,
NAT202401,16065,2841,paperclip,blouse,blouse,blouse,blouse,
NAT202401,9301,2841,paperclip,shirt,shirt,shirt,shirt,
NAT202401,9307,2841,paperclip,sleutel ,key,key,key,
NAT202401,9308,2841,paperclip,spalkje,splint,splint,splint,
NAT202401,9311,2841,paperclip,geldbijelkaarhouder ,money box holder,money box holder,money box holder,
NAT202401,9315,2841,paperclip,rits,zipper,zipper,zipper,
NAT202401,9403,2842,paperclip,Een blaar doorprikken,Popping blister,pierce a blister,popping blister,
NAT202401,9404,2842,paperclip,Poppetjes van maken,Make dolls,make dolls,make dolls,
NAT202401,9458,2844,paperclip,Ruilen voor iets groters,Exchange bigger,exchange for something bigger,exchange bigger,
NAT202401,9461,2844,paperclip,Accupuntuur,Accupunture,accupuncture,accupunture,
NAT202401,9552,2845,paperclip,plastic bakje,plastic box,plastic box,plastic box,
NAT202401,9561,2845,paperclip,peuteren,toddler,toddler,toddler,
NAT202401,9564,2845,paperclip,bevestigen,confirm,confirm,confirm,
NAT202401,9616,2846,paperclip,verbuigen,inflect,inflect,inflect,
NAT202401,9618,2846,paperclip,prikken,jabs,jabs,jabs,
NAT202401,9624,2846,paperclip,bedel,beg,beg,beg,
NAT202401,9681,2847,paperclip,verbuigen tot interieur voor lego of playmobil,turned interior Lego Playmobil,bend into interior for lego or playmobil,lego toy,
NAT202401,9682,2847,paperclip,schoenen of kleding maken voor je lego poppetjes,make shoes clothes Lego figures,make shoes or clothes for your lego figures,lego figures clothing,
NAT202401,9683,2847,paperclip,als nepbeugel vebruigen,fake brace,use as fake braces,fake brace,
NAT202401,9688,2847,paperclip,goocheltrucs,magic tricks,magic tricks,magic tricks,
NAT202401,9689,2847,paperclip,nep-trainrails maken voor speelgoed,making fake train tracks toys,make fake train tracks for toys,toy train track,
NAT202401,9690,2847,paperclip,bakjes maken van paperclips,making containers paper clips,making containers from paperclips,container,
NAT202401,9733,2848,paperclip,ring,ring,ring,ring,
NAT202401,9811,2851,paperclip,goocheltrucs,magic tricks,magic tricks,magic tricks,
NAT202401,9819,2851,paperclip,uitvouwen en gebruiken als knutseldraad,unfold craft thread,unfold and use as craft wire,unfold craft thread,
NAT202401,9869,2852,paperclip,vouwen,fold,fold,fold,
NAT202401,9874,2852,paperclip,mee beginnen in een ruilspel,start trading game,start a trading game,start trading game,
NAT202401,9878,2852,paperclip,De rits van je tent fixen als die stukgaat op een festival,Fix zipper tent breaks festival,fixing the zipper of your tent when it breaks at a festival,fix zipper tent breaks festival,
NAT202401,9879,2852,paperclip,Op het moment van een probleem er creatief mee zijn,faced problem  creative,be creative with it when a problem occurs,faced problem  creative,
NAT202401,9956,2854,paperclip,ring,ring,ring,ring,
NAT202401,9963,2854,paperclip,iemand prikken,prick,prick someone,prick,
NAT202401,10020,2856,paperclip,een ring maken,make ring,make a ring,ring,
NAT202401,10023,2856,paperclip,ballon lek prikken,puncture balloon,puncture a balloon,puncture balloon,
NAT202401,10024,2856,paperclip,een auto band lek prikken,puncturing car tire,puncture a car tire,puncturing car tire,
NAT202401,10031,2856,paperclip,kust maken,make coast,make a coast,coast,
NAT202401,10094,2857,paperclip,een poppetje ervan maken en een show geven aan je neefje ,make doll put show nephew,make a figure and give a show to your nephew,make doll put show nephew,
NAT202401,10101,2857,paperclip,een ring maken ,make ring,make a ring,make ring,
NAT202401,10135,2858,paperclip,buigen,bow,bow,bow,
NAT202401,10138,2858,paperclip,Ruilen ,Exchange,Exchange,exchange,
NAT202401,10140,2858,paperclip,Kantoorbezigheid,Office occupation,Office occupation,office occupation,
NAT202401,10141,2858,paperclip,Vermaak tijdens verveling ,Entertainment boredom,Entertainment during boredom,entertainment boredom,
NAT202401,10142,2858,paperclip,stresshelper ,stress helper,stress helper,stress helper,
NAT202401,10143,2858,paperclip,Poppetjes vastzetten in taart,Attach dolls cake,attach dolls in cake,attach dolls cake,
NAT202401,10208,2862,paperclip,als beugel gebruiken,brace,use as braces,brace,
NAT202401,10256,2863,paperclip,alternatieve priem ,alternative awl,alternative awl,alternative awl,
NAT202401,10315,2864,paperclip,als pion bij een bordspel ,pawn board game,as a pawn in a board game,pawn board game,
NAT202401,10373,2867,paperclip,je kan het in de lucht gooien,throw air,you can throw it in the air,throw air,
NAT202401,10384,2867,paperclip,je kan als een verlengde vinger gebruiken,extended finger,you can use it as an extended finger,extended finger,
NAT202401,10452,2869,paperclip,in een huis inbreken ,breaking house,break into a house,breaking house,
NAT202401,10513,2870,paperclip,ring,ring,ring,ring,
